NAME,DOCK_SC,RMSD_LB,RMSD_UB,LABO_RMSD,HUNG_RMSD,SYMM_RMSD
SIM_1,-5.566,0.0,0.0,7.867,ERROR,ERROR
SIM_2,-5.343,7.62,9.486,3.513,ERROR,ERROR
SIM_3,-5.329,9.125,10.28,3.18,ERROR,ERROR
SIM_4,-5.307,1.379,1.823,7.59,ERROR,ERROR
SIM_5,-5.298,7.928,9.33,3.534,ERROR,ERROR
SIM_6,-5.238,7.692,9.143,2.14,ERROR,ERROR
SIM_7,-5.211,6.792,8.544,2.091,ERROR,ERROR
SIM_8,-5.183,7.452,9.331,4.172,ERROR,ERROR
SIM_9,-5.116,8.414,9.614,4.241,ERROR,ERROR
